,Year,Total Voting-Age Population,Total Percent,White,White Non-Hispanic,Black,Asian,Hispanic (Any Race),Total Male Population Percentage,Total Female Population Percentage
7,2024,260363,65.3,67.3,70.5,59.6,57.1,50.6,57.4,61
8,2022,255457,52.2,54.7,57.6,45.1,40.2,37.9,46.6,48.8
9,2020,252274,66.8,68.3,70.9,62.6,59.7,53.7,59.5,63
10,2018,249748,53.4,55,57.5,51.1,40.6,40.4,47.2,50.6
11,2016,245502,61.4,62.9,65.3,59.4,49,47.6,53.8,58.1
12,2014,239874,41.9,43.4,45.8,39.7,27.1,27,37.2,39.6
13,2012,235248,61.8,62.2,64.1,66.2,47.3,48,54.4,58.5
14,2010,229690,45.5,46.7,48.6,43.5,30.8,31.2,40.9,42.7
15,2008,225499,63.6,64.4,66.1,64.7,47.6,49.9,55.7,60.4
16,2006,220603,47.8,49.7,51.6,41,32.4,32.3,42.4,44.7
17,2004,215694,63.8,65.4,67.2,60,44.2,47.2,56.3,60.1
18,2002,210421,46.1,47.5,49.1,42.3,31.2,30.4,41.4,43
19,2000,202609,59.5,60.5,61.8,56.8,43.3,45.1,53.1,56.2
20,1998,198228,45.3,46.3,47.4,41.8,32.4,32.8,41.4,42.4
21,1996,193652,58.4,59.6,60.7,53,45,44,52.8,55.5
22,1994,190267,48.3,50,51,38.9,39.4,34,44.7,45.3
23,1992,185684,67.7,69.2,70.2,59.2,53.9,51.6,60.2,62.3
24,1990,182118,49.3,50.5,51.3,42.4,40,36,44.6,45.4
25,1988,178098,62.2,63.4,64.2,55,,48,56.4,58.3
26,1986,173890,49.4,50,50.7,45.5,,38,45.8,46.1
27,1984,169963,64.9,65.7,66.4,60.6,,50,59,60.8
28,1982,165483,51.9,52.8,53.4,45.5,,38.5,48.7,48.4
29,1980,157085,64,65.4,66.2,53.9,,46,59.1,59.4
30,1978,151646,48.9,50.1,50.6,39.5,,35.7,46.6,45.3
31,1976,146548,,,,,,,59.6,58.8
32,1974,141299,,,,,,,46.2,43.4
33,1972,136203,,,,,,,64.1,62
34,1970,120701,,,,,,,56.8,52.7
35,1968,116535,,,,,,,69.8,66
36,1966,112800,,,,,,,58.2,53
37,1964,110604,,,,,,,71.9,67
